42;4321
300;749869
365;33639
404;21227
433;926547
611;20909
808;28223
888;29462
1337;20824
2015;3744
BTC;1182
ETH;7605
LTC;3808
DASH;3807
XMR;5038
NXT;1183
ETC;5324
DOGE;4432
ZEC;24854
BTS;5039
DGB;4430
XRP;5031
BTCD;4400
PPC;2349
CRAIG;4425
XBS;5023
XPY;5030
PRC;3638
YBC;3639
DANK;3640
GIVE;3641
KOBO;3642
DT;3643
CETI;3644
SUP;3645
XPD;3646
GEO;3647
CHASH;3648
SPR;3649
NXTI;3650
WOLF;3653
XDP;3655
AC;4322
ACOIN;4323
AERO;4324
ALF;4325
AGS;4326
AMC;4327
ALN;4328
APEX;4330
ARCH;4331
ARG;4371
ARI;4332
AUR;4333
AXR;4334
BCX;4335
BET;4337
BEAN;4338
BLU;4340
BLK;4339
BOST;4342
BQC;4343
XMY;4345
MOON;4346
ZET;4347
SXC;4348
QTL;4349
ENRG;4350
QRK;4351
RIC;4352
DGC;4353
LIMX;4354
BTB;4399
CAIX;4406
BTE;4401
BUK;4404
CACH;4405
CANN;4407
CAP;4408
CASH;4409
CAT;4410
CBX;4411
CCN;4412
CIN;4413
CINNI;4414
CXC;4415
CLAM;4416
CLOAK;4417
CLR;4418
CMC;4419
CNC;4420
CNL;4421
COMM;4422
COOL;4423
CRACK;4424
CRYPT;4427
CSC;4428
DEM;4429
DMD;4431
XVG;4433
DRKC;4434
DSB;4435
DVC;4436
EAC;4437
EFL;4438
ELC;4439
EMC2;4440
EMD;4441
EXCL;4442
EXE;4443
EZC;4444
FLAP;4445
FC2;4446
FFC;4447
FIBRE;4448
FRC;4521
FLT;4449
FRK;4522
FRAC;4450
FST;4523
FTC;4524
GDC;4526
GLC;4527
GLD;4528
GLX;4529
GLYPH;4530
GML;4531
GUE;4532
HAL;4533
HBN;4534
HUC;4535
HVC;4536
HYP;4537
ICB;4538
IFC;4539
IOC;4540
IXC;4541
JBS;4542
JKC;4543
JUDGE;4544
KDC;4545
KEY*;4546
KGC;4547
LK7;4550
LKY;4551
LSD;4552
LTB;4553
LTCD;4554
LTCX;4555
LXC;4556
LYC;4557
MAX;4558
MEC;4559
MED;4560
MIN;4561
MN;4563
MINC;4564
MRY;4566
MZC;4568
NAN;4569
NAUT;4570
NAV;4571
NBL;4572
NEC;4573
NET;4574
NMB;4575
NRB;4576
NOBL;4577
NRS;4578
NVC;4579
NMC;4580
NYAN;4581
OPAL;4582
ORB;4583
OSC;4584
PHS;4585
POINTS;4586
POT;4587
PSEUD;4588
PXC;4590
PYC;4591
RDD;4592
RIPO;4593
RPC;4594
RT2;4595
RYC;4596
RZR;4597
SAT2;4598
SBC;4599
SDC;4600
SFR;4601
SHADE;4602
SHLD;4603
SILK;4604
SLG;4605
SMC;4606
SOLE;4607
SPA;4608
SPT;4609
SRC;4611
SSV;4613
SUPER;4615
SWIFT;4616
SYNC;4617
SYS;4618
TAG;4619
TAK;4620
TES;4622
TGC;4623
TIT;4624
TOR;4625
TRC;4626
ULTC;4628
UNB;4629
UNO;4630
URO;4631
USDE;5011
UTC;5012
UTIL;5013
VDO;5014
VIA;5015
VOOT;5016
VRC;5017
VTC;5018
WC;5019
WDC;5020
XAI;5021
XBOT;5022
XC;5024
XCSH;5025
XCR;5026
XJO;5027
XLB;5028
XPM;5029
